,1,2,3,4,5,6,7,8,9,textblob,textblob-extra,vote-count,continuous-all
1,0,4,1,0,4,0,3,1,16,16,16,15,16
2,0,0,1,0,3,0,2,4,16,16,16,16,16
3,0,3,0,1,3,1,2,2,16,16,16,16,16
4,2,5,0,0,0,0,1,2,16,16,16,16,16
5,3,4,5,1,0,2,2,1,16,16,16,15,16
6,0,3,0,0,1,0,2,1,16,16,16,15,16
7,0,4,0,1,1,0,0,0,16,16,16,15,16
8,1,4,3,2,1,3,0,0,16,16,16,15,16
9,0,0,0,0,0,0,0,0,0,8,14,4,14
textblob,0,0,0,0,0,0,0,0,0,0,10,0,9
textblob-extra,0,0,0,0,0,0,0,0,2,3,0,0,7
vote-count,0,0,0,0,0,0,0,0,12,16,16,0,16
continuous-all,0,0,0,0,0,0,0,0,2,5,3,0,0
